No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
206,0,104.211906848,30.565143958,515.069,1.03000,
207,0,104.211956048,30.565129086,515.252,1.03500,
208,0,104.212005247,30.565114215,515.433,1.04000,
209,0,104.212054446,30.565099344,515.483,1.04500,
210,0,104.212103646,30.565084472,515.513,1.05000,
211,0,104.212152845,30.565069601,515.502,1.05500,
212,0,104.212202044,30.565054729,515.439,1.06000,
213,0,104.212251244,30.565039858,515.380,1.06500,
214,0,104.212300443,30.565024986,515.334,1.07000,
215,0,104.212349642,30.565010115,515.297,1.07500,
216,0,104.212398842,30.564995243,515.313,1.08000,
217,0,104.212448041,30.564980372,515.359,1.08500,
218,0,104.212497240,30.564965500,515.423,1.09000,
219,0,104.212546439,30.564950628,515.470,1.09500,
220,0,104.212595639,30.564935757,515.496,1.10000,
221,0,104.212644838,30.564920885,515.522,1.10500,
222,0,104.212694037,30.564906013,515.549,1.11000,
223,0,104.212743236,30.564891142,515.416,1.11500,
224,0,104.212792435,30.564876270,515.259,1.12000,
225,0,104.212841634,30.564861398,515.074,1.12500,
226,0,104.212890834,30.564846527,514.906,1.13000,
227,0,104.212940033,30.564831655,514.759,1.13500,
228,0,104.212989232,30.564816783,514.595,1.14000,
229,0,104.213038431,30.564801911,514.433,1.14500,
230,0,104.213087630,30.564787039,514.293,1.15000,
231,0,104.213136829,30.564772168,514.151,1.15500,
232,0,104.213186028,30.564757296,513.954,1.16000,
233,0,104.213235227,30.564742424,513.750,1.16500,
234,0,104.213284426,30.564727552,513.526,1.17000,
235,0,104.213333625,30.564712680,513.306,1.17500,
236,0,104.213382824,30.564697808,513.100,1.18000,
237,0,104.213432023,30.564682936,512.755,1.18500,
238,0,104.213481222,30.564668064,512.383,1.19000,
239,0,104.213530421,30.564653192,512.062,1.19500,
240,0,104.213579620,30.564638320,511.704,1.20000,
241,0,104.213628819,30.564623448,511.331,1.20500,
242,0,104.213678018,30.564608576,510.894,1.21000,
243,0,104.213727216,30.564593704,510.456,1.21500,
244,0,104.213776415,30.564578832,510.067,1.22000,
245,0,104.213825614,30.564563960,509.670,1.22500,
246,0,104.213874813,30.564549088,509.313,1.23000,
247,0,104.213924012,30.564534216,509.038,1.23500,
248,0,104.213973211,30.564519344,508.834,1.24000,
249,0,104.214022409,30.564504471,508.664,1.24500,
250,0,104.214071608,30.564489599,508.506,1.25000,
251,0,104.214120807,30.564474727,508.558,1.25500,
252,0,104.214170006,30.564459855,508.586,1.26000,
253,0,104.214219204,30.564444982,508.629,1.26500,
254,0,104.214268403,30.564430110,508.559,1.27000,
255,0,104.214317602,30.564415238,508.336,1.27500,
256,0,104.214366800,30.564400366,508.117,1.28000,
257,0,104.214415999,30.564385493,507.914,1.28500,
258,0,104.214465198,30.564370621,507.478,1.29000,
259,0,104.214514396,30.564355749,507.031,1.29500,
260,0,104.214563595,30.564340876,506.559,1.30000,
261,0,104.214612794,30.564326004,506.009,1.30500,
262,0,104.214661992,30.564311131,505.318,1.31000,
263,0,104.214711191,30.564296259,504.705,1.31500,
264,0,104.214760389,30.564281387,504.068,1.32000,
265,0,104.214809588,30.564266514,503.846,1.32500,
266,0,104.214858786,30.564251642,503.667,1.33000,
267,0,104.214907985,30.564236769,503.515,1.33500,
268,0,104.214957183,30.564221897,503.427,1.34000,
269,0,104.215006382,30.564207024,503.426,1.34500,
270,0,104.215055580,30.564192151,503.416,1.35000,
271,0,104.215104779,30.564177279,503.387,1.35500,
272,0,104.215153977,30.564162406,503.380,1.36000,
273,0,104.215203176,30.564147534,503.376,1.36500,
274,0,104.215252374,30.564132661,503.393,1.37000,
275,0,104.215301572,30.564117788,503.393,1.37500,
276,0,104.215350771,30.564102916,503.393,1.38000,
277,0,104.215399969,30.564088043,503.393,1.38500,
278,0,104.215449168,30.564073170,503.393,1.39000,
279,0,104.215498366,30.564058298,503.281,1.39500,
280,0,104.215547564,30.564043425,503.172,1.40000,
281,0,104.215596762,30.564028552,503.010,1.40500,
282,0,104.215645961,30.564013679,502.207,1.41000,
